and_depth,trial,n_vars,n_ands,n_ors,n_nots,peak_mul,peak_conv,peak_gap,peak_ratio,final_mul,final_conv,final_gap,final_ratio,mul_nodes,conv_nodes,mul_peak_supp,conv_peak_supp,has_gap,formula_len
1,86,10,1,11,11,3.515625,3.515625,0.0,1.0,3.515625,3.515625,0.0,1.0,165,165,256,256,0,95
1,87,10,1,13,7,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,169,169,16,16,0,93
1,88,10,1,21,17,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,289,289,65,65,0,163
1,89,10,1,11,7,2.9375,2.9375,0.0,1.0,1.75,1.75,0.0,1.0,149,149,33,33,0,83
1,90,10,1,9,5,2.875,2.875,0.0,1.0,1.9375,1.9375,0.0,1.0,121,121,17,17,0,67
1,91,10,1,13,4,2.875,2.875,0.0,1.0,1.9375,1.9375,0.0,1.0,157,157,17,17,0,84
1,92,10,1,17,8,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,213,213,17,17,0,116
1,93,10,1,19,10,2.96875,2.96875,0.0,1.0,1.984375,1.984375,0.0,1.0,241,241,64,64,0,132
1,94,10,1,20,8,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,243,243,17,17,0,131
1,95,10,1,21,8,2.9921875,2.9921875,0.0,1.0,1.9921875,1.9921875,0.0,1.0,253,253,256,256,0,136
1,96,10,1,17,12,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,229,229,9,9,0,128
1,97,10,1,16,10,2.875,2.875,0.0,1.0,1.5,1.5,0.0,1.0,211,211,17,17,0,117
1,98,10,1,19,13,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,253,253,32,32,0,141
1,99,10,1,18,10,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,231,231,9,9,0,127
1,100,10,1,15,9,2.875,2.875,0.0,1.0,1.9375,1.9375,0.0,1.0,197,197,16,16,0,109
1,101,10,1,20,10,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,251,251,65,65,0,137
1,102,10,1,16,6,2.96875,2.96875,0.0,1.0,1.9375,1.9375,0.0,1.0,195,195,64,64,0,105
1,103,10,1,12,6,2.75,2.75,0.0,1.0,1.875,1.875,0.0,1.0,155,155,9,9,0,85
1,104,10,1,17,8,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,213,213,8,8,0,116
1,105,10,1,24,12,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,299,299,32,32,0,163
1,106,10,1,26,11,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,315,315,33,33,0,170
1,107,10,1,24,12,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,299,299,33,33,0,163
1,108,10,1,20,15,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,271,271,65,65,0,152
1,109,10,1,18,12,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,239,239,17,17,0,133
1,110,10,1,14,10,2.875,2.875,0.0,1.0,1.875,1.875,0.0,1.0,191,191,16,16,0,107
1,111,10,1,15,10,2.875,2.875,0.0,1.0,1.75,1.75,0.0,1.0,201,201,17,17,0,112
1,112,10,1,11,3,2.9375,2.9375,0.0,1.0,1.875,1.875,0.0,1.0,133,133,32,32,0,71
1,113,10,1,17,12,2.984375,2.984375,0.0,1.0,1.9921875,1.9921875,0.0,1.0,229,229,129,129,0,128
1,114,10,1,10,3,2.9375,2.9375,0.0,1.0,1.96875,1.96875,0.0,1.0,123,123,33,33,0,66
1,115,10,1,20,11,2.984375,2.984375,0.0,1.0,1.9921875,1.9921875,0.0,1.0,255,255,129,129,0,140
1,116,10,1,17,7,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,209,209,64,64,0,113
1,117,10,1,16,9,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,207,207,9,9,0,114
1,118,10,1,24,13,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,303,303,64,64,0,166
1,119,10,1,14,10,2.96875,2.96875,0.0,1.0,1.984375,1.984375,0.0,1.0,191,191,65,65,0,107
1,120,10,1,14,10,2.5,2.5,0.0,1.0,1.0,1.0,0.0,1.0,191,191,5,5,0,107
1,121,10,1,15,11,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,205,205,64,64,0,115
1,122,10,1,24,14,2.9921875,2.9921875,0.0,1.0,1.0,1.0,0.0,1.0,307,307,256,256,0,169
1,123,10,1,16,7,2.984375,2.984375,0.0,1.0,2.8088378906,2.734375,0.0744628906,1.027232,199,199,129,129,1,108
1,124,10,1,16,9,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,207,207,33,33,0,114
1,125,10,1,22,15,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,291,291,64,64,0,162
1,126,10,1,14,10,2.96875,2.96875,0.0,1.0,2.7265625,2.71875,0.0078125,1.002874,191,191,64,64,1,107
1,127,10,1,11,6,2.9375,2.9375,0.0,1.0,1.875,1.875,0.0,1.0,145,145,33,33,0,80
1,128,10,1,8,3,2.875,2.875,0.0,1.0,2.5625,2.5625,0.0,1.0,103,103,17,17,0,56
1,129,10,1,19,9,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,237,237,17,17,0,129
1,130,10,1,20,10,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,251,251,17,17,0,137
1,131,10,1,15,5,2.9375,2.9375,0.0,1.0,1.96875,1.96875,0.0,1.0,181,181,33,33,0,97
1,132,10,1,15,12,2.96875,2.96875,0.0,1.0,1.984375,1.984375,0.0,1.0,209,209,64,64,0,118
1,133,10,1,20,9,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,247,247,64,64,0,134
1,134,10,1,23,12,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,289,289,33,33,0,158
1,135,10,1,16,10,2.96875,2.96875,0.0,1.0,1.96875,1.96875,0.0,1.0,211,211,64,64,0,117
1,136,10,1,13,8,2.75,2.75,0.0,1.0,1.875,1.875,0.0,1.0,173,173,8,8,0,96
1,137,10,1,21,7,2.984375,2.984375,0.0,1.0,1.984375,1.984375,0.0,1.0,249,249,128,128,0,133
1,138,10,1,20,15,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,271,271,2,2,0,152
1,139,10,1,7,1,2.5,2.5,0.0,1.0,2.0,2.0,0.0,1.0,85,85,4,4,0,45
1,140,10,1,14,7,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,179,179,16,16,0,98
1,141,10,1,21,11,2.984375,2.984375,0.0,1.0,1.0,1.0,0.0,1.0,265,265,128,128,0,145
1,142,10,1,18,9,2.9921875,2.9921875,0.0,1.0,1.0,1.0,0.0,1.0,227,227,257,257,0,124
